guid,title,pubDate,description,link,media
https://www.hindustantimes.com/fashion-and-trends/keeping-up-with-gen-z-modern-day-guide-to-emojis-used-by-the-new-high-tech-generation/story-hQvVBtQYFXB4NqFuEKKcxH.html,Keeping up with Gen Z: Modern day guide to emojis used by the new high-tech gen...,"Sun, 26 Jul 2020 02:01:10 GMT ",In the case of internet slang and emoji usage; the trends and meanings change as fast as our mood  during the lockdown.,https://www.hindustantimes.com/fashion-and-trends/keeping-up-with-gen-z-modern-day-guide-to-emojis-used-by-the-new-high-tech-generation/story-hQvVBtQYFXB4NqFuEKKcxH.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/07/25/Pictures/_ca280670-ce86-11ea-a892-bc0febb83d85.jpg
https://www.hindustantimes.com/more-lifestyle/horoscope-today-astrological-prediction-for-july-26-what-s-in-store-for-aries-leo-virgo-libra-and-other-zodiac-signs/story-hen3lo61751mlRiyEpV4KO.html,"Horoscope Today: Astrological prediction for July 26, what's in store for Aries,...","Sun, 26 Jul 2020 12:54:58 GMT ","Horoscope Today: Are the stars lined up in your favour? Find out the astrological prediction for Aries, Leo, Virgo, Libra and other zodiac signs for July 26. ",https://www.hindustantimes.com/more-lifestyle/horoscope-today-astrological-prediction-for-july-26-what-s-in-store-for-aries-leo-virgo-libra-and-other-zodiac-signs/story-hen3lo61751mlRiyEpV4KO.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/07/03/Pictures/_4c6be882-bc98-11ea-8289-eb9e57c07d2f.png
https://www.hindustantimes.com/columns/covid-19-exacerbates-the-risk-of-unsafe-abortions/story-FdAnkRTc0vgWR4gLO3ROfM.html,Covid-19 exacerbates the risk of unsafe abortions | Opinion,"Sun, 26 Jul 2020 12:13:15 GMT ","The lack of safe abortion facilities will have an impact on both health and family planning long after the coronavirus crisis is overcome, both in terms of unwanted pregnancies and unsafe abortions.  Planning for this now is the only option",https://www.hindustantimes.com/columns/covid-19-exacerbates-the-risk-of-unsafe-abortions/story-FdAnkRTc0vgWR4gLO3ROfM.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/07/25/Pictures/_80fc844e-ce77-11ea-a892-bc0febb83d85.jpg
https://www.hindustantimes.com/more-lifestyle/raksha-bandhan-2020-modi-rakhi-silk-rakhi-traders-body-cait-presents-over-10-000-rakhis-for-indian-soldiers-to-defence-minister-rajnath-singh/story-tP96UEUWZCyezm34vys2QL.html,"Modi rakhi, silk rakhi: Over 10,000 rakhis for Indian soldiers presented to Defence...","Sat, 25 Jul 2020 02:26:34 GMT ","The rakhis are designed by women entrepreneurs for Indian soldiers posted at borders with China and Pakistan, amid its campaign for boycott of Chinese goods.    The rakhis handed over to Singh included ‘Modi Rakhi’ made in Delhi.",https://www.hindustantimes.com/more-lifestyle/raksha-bandhan-2020-modi-rakhi-silk-rakhi-traders-body-cait-presents-over-10-000-rakhis-for-indian-soldiers-to-defence-minister-rajnath-singh/story-tP96UEUWZCyezm34vys2QL.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/07/25/Pictures/indore-women-campaign-rakhis-under-bharat-atmanirbhar_b0c72f12-ce81-11ea-8f16-bf30a6fcabb3.jpg
https://www.hindustantimes.com/travel/not-this-year-great-british-summer-getaway-takes-a-pause-due-to-coronavirus-pandemic/story-9bt5Sx2btmAjyrVzQVYAPL.html,Not this year: Great British summer getaway takes a pause due to coronavirus pa...,"Sat, 25 Jul 2020 02:15:05 GMT ",The first Friday after schools in Britain close for the summer is always one of the busiest for the country’s airports as families escape for the warmer climes. Not this year. The coronavirus pandemic has ended all that.,https://www.hindustantimes.com/travel/not-this-year-great-british-summer-getaway-takes-a-pause-due-to-coronavirus-pandemic/story-9bt5Sx2btmAjyrVzQVYAPL.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/07/25/Pictures/_c5ddca92-ce80-11ea-8f16-bf30a6fcabb3.jpg
https://www.hindustantimes.com/art-and-culture/art-galleries-shut-by-covid-19-brazil-has-a-drive-thru-art-show/story-VvHc4ePNfydml1hz4rxv9O.html,"Art galleries shut by Covid-19, Brazil has a drive-thru art show","Sat, 25 Jul 2020 01:44:20 GMT ",“DriveThru.Art” displays art works on 18 panels measuring 10 meters (33 feet) wide by 5 meters (16 1/2 feet) high by different artists in a huge shed that once housed a metallurgical business.,https://www.hindustantimes.com/art-and-culture/art-galleries-shut-by-covid-19-brazil-has-a-drive-thru-art-show/story-VvHc4ePNfydml1hz4rxv9O.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/07/25/Pictures/virus-outbreak-brazil_465232e8-ce73-11ea-8f16-bf30a6fcabb3.jpg
https://www.hindustantimes.com/sex-and-relationships/love-in-times-of-covid-19-dating-apps-navigate-new-norms-with-return-of-real-life-meetings/story-pvCiPWaLMFlvFs8ATirFTN.html,Love in times of Covid-19: Dating apps navigate new norms with return of real-life...,"Sat, 25 Jul 2020 01:30:10 GMT ","While the pandemic has dramatically changed the playbook for in-person dating, especially in hard-hit area, it hasn’t stopped stay-at-home singletons from craving human connection. ",https://www.hindustantimes.com/sex-and-relationships/love-in-times-of-covid-19-dating-apps-navigate-new-norms-with-return-of-real-life-meetings/story-pvCiPWaLMFlvFs8ATirFTN.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/07/25/Pictures/_032788e0-ce7a-11ea-8f16-bf30a6fcabb3.jpeg
https://www.hindustantimes.com/india-news/ht-exclusive-myanmar-flushes-out-northeast-insurgents-hands-over-22-to-india/story-x3CcZ88zxPj54l6XtqTj6L.html,"HT Exclusive: Nudged by Ajit Doval, Myanmar army hands over 22 northeast insurg...","Sat, 16 May 2020 08:16:36 GMT ",The handling over anti-India insurgents by Myanmar military is a culmination of months of work by NSA Ajit Doval and security agencies,https://www.hindustantimes.com/india-news/ht-exclusive-myanmar-flushes-out-northeast-insurgents-hands-over-22-to-india/story-x3CcZ88zxPj54l6XtqTj6L.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/05/15/Pictures/_b4487a46-96b0-11ea-b40c-d7c2b81d84c3.jpg
https://www.hindustantimes.com/india-news/govt-to-create-rs-1-lakh-crore-agri-infrastructure-fund-for-marginalized-farmers-fm/story-NHzXbkxLRQjFzmO1nl3vOI.html,Govt to create Rs 1 lakh crore Agri-Infrastructure Fund for marginalised farmers:...,"Fri, 15 May 2020 07:33:47 GMT ","The lack of adequate cold chain and post-harvest management in the vicinity of farm-gate is causing gaps in value chains. The government’s focus has been on short-term crop loans while investment in long-term agriculture infrastructure has often not been enough, the minister indicated.",https://www.hindustantimes.com/india-news/govt-to-create-rs-1-lakh-crore-agri-infrastructure-fund-for-marginalized-farmers-fm/story-NHzXbkxLRQjFzmO1nl3vOI.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/05/16/Pictures/_cdbbcb4a-96e2-11ea-b40c-d7c2b81d84c3.jpg
https://www.hindustantimes.com/india-news/rahul-gandhi-shreds-niti-aayog-over-no-covid-19-cases-after-may-16-prediction/story-nIznL58C2I4kaSoVqqIuYI.html,Rahul Gandhi jabs NITI Aayog over Covid-19 'prediction'; gets a prompt rebuttal,"Fri, 15 May 2020 05:49:53 GMT ",NITI Aayog chief executive officer Amitabh Kant later tweeted his rebuttal to Rahul Gandhi.,https://www.hindustantimes.com/india-news/rahul-gandhi-shreds-niti-aayog-over-no-covid-19-cases-after-may-16-prediction/story-nIznL58C2I4kaSoVqqIuYI.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/05/15/Pictures/_7274820e-96a6-11ea-a091-8eb61e4add3b.jpg
https://www.hindustantimes.com/india-news/delhi-s-covid-19-death-toll-rises-to123-city-reports-425-fresh-cases-taking-tally-to-8-895/story-7KhV4ewplevU1Tp0n92ZaM.html,"Delhi's Covid-19 death toll rises to123, city reports 425 fresh cases taking tally...","Fri, 15 May 2020 01:32:22 GMT ","In a health bulletin issued on Friday, the Delhi health department said, the death toll from the coronavirus infection in the national capital has risen to 123. The national capital, however, did not report any deaths due to coronavirus in the last twenty-four hours, the data revealed.",https://www.hindustantimes.com/india-news/delhi-s-covid-19-death-toll-rises-to123-city-reports-425-fresh-cases-taking-tally-to-8-895/story-7KhV4ewplevU1Tp0n92ZaM.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/05/15/Pictures/delhi-lockdown-covid-19-day-13_f4f5e48a-9696-11ea-b40c-d7c2b81d84c3.jpg
https://www.hindustantimes.com/cricket/virat-kohli-rohit-sharma-could-remain-stranded-in-mumbai-when-india-return-to-training-says-bcci-official/story-TgEC9jqodMzKl4T77n3fPP.html,"Virat Kohli, Rohit Sharma could remain stranded in Mumbai when India return to training,...","Fri, 15 May 2020 12:16:17 GMT ","Speaking in an interview to news agency AFP, BCCI treasurer Arun Dhumal said: “For players like Kohli and Rohit, the restrictions are there in Mumbai and might stay.”",https://www.hindustantimes.com/cricket/virat-kohli-rohit-sharma-could-remain-stranded-in-mumbai-when-india-return-to-training-says-bcci-official/story-TgEC9jqodMzKl4T77n3fPP.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/05/15/Pictures/icc-cricket-awards-2020_f4b7dfc0-9699-11ea-b40c-d7c2b81d84c3.jpg
https://www.hindustantimes.com/videos/coronavirus-crisis/my-child-has-been-crying-please-let-me-go-home-migrant-worker-breaks-down/video-j0AgIuZHgANlnZBspLoUcO.html,"'My child has been crying, please let me go home': Migrant worker breaks down","Fri, 15 May 2020 09:38:36 GMT ",,https://www.hindustantimes.com/videos/coronavirus-crisis/my-child-has-been-crying-please-let-me-go-home-migrant-worker-breaks-down/video-j0AgIuZHgANlnZBspLoUcO.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/05/15/Pictures/_13b54602-968f-11ea-a091-8eb61e4add3b.png
https://www.hindustantimes.com/cricket/england-spinner-picks-babar-azam-over-virat-kohli-gives-reason-for-his-choice/story-Gx3b44gcFAwJ2WBse0iLBP.html,"England spinner picks Babar Azam over Virat Kohli, gives reason for his choice","Fri, 15 May 2020 08:18:38 GMT ",Rashid went ahead and picked the Pakistani middle order batsman over Kohli but clarified that his choice was based on current form.,https://www.hindustantimes.com/cricket/england-spinner-picks-babar-azam-over-virat-kohli-gives-reason-for-his-choice/story-Gx3b44gcFAwJ2WBse0iLBP.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/05/15/Pictures/india-v-pakistan-icc-champions-trophy-final_76d8daac-9683-11ea-a091-8eb61e4add3b.jpg
